artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
Leona Lewis,Bleeding Love,"pop, R&B",2007,0.638,0.656,262466,FALSE,,,,,,,,,
Rihanna,Umbrella,"hip hop, pop, R&B",2008,0.583,0.829,275986,FALSE,,,,,,,,,
Britney Spears,Gimme More,pop,2007,0.788,0.844,251240,FALSE,,,,,,,,,
Fergie,Big Girls Don't Cry (Personal),"pop, R&B",2006,0.708,0.641,268120,FALSE,,,,,,,,,
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,pop,2007,0.698,0.844,219413,FALSE,,,,,,,,,
Plain White T's,Hey There Delilah,pop,2005,0.656,0.291,232533,FALSE,,,,,,,,,
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),pop,2006,0.687,0.723,448573,FALSE,,,,,,,,,
Gwen Stefani,The Sweet Escape,"pop, R&B",2006,0.756,0.77,246466,FALSE,,,,,,,,,
Timbaland,The Way I Are,"hip hop, pop, R&B",2007,0.731,0.807,179120,FALSE,,,,,,,,,
Nelly Furtado,Say It Right,"hip hop, pop, latin",2006,0.872,0.872,223080,FALSE,,,,,,,,,
Ida Corr,Let Me Think About It,set(),2012,0.762,0.754,151973,FALSE,,,,,,,,,
Alex Gaudino,Destination Calabria - Radio Edit,Dance/Electronic,2007,0.627,0.954,223111,FALSE,,,,,,,,,
September,Cry for You,"pop, Dance/Electronic",2007,0.767,0.881,209800,FALSE,,,,,,,,,
Akon,Smack That,pop,2006,0.94,0.743,212360,TRUE,,,,,,,,,
Timbaland,Give It To Me,"hip hop, pop, R&B",2007,0.975,0.711,234026,TRUE,,,,,,,,,
50 Cent,Ayo Technology,"hip hop, pop",2007,0.63,0.782,247946,TRUE,,,,,,,,,
Eric Prydz,Proper Education - Radio Edit,"pop, Dance/Electronic",2007,0.537,0.937,198567,FALSE,,,,,,,,,
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,"pop, Dance/Electronic",2015,0.827,0.931,150533,FALSE,,,,,,,,,
Ciara,Like a Boy,"pop, R&B",2006,0.701,0.724,237053,FALSE,,,,,,,,,
Kanye West,Stronger,hip hop,2007,0.617,0.717,311866,TRUE,,,,,,,,,
Beyoncé,Beautiful Liar,"pop, R&B",2007,0.764,0.751,199853,FALSE,,,,,,,,,
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,"hip hop, pop",2007,0.584,0.681,237173,FALSE,,,,,,,,,
Akon,I Wanna Love You,pop,2006,0.865,0.45,247066,TRUE,,,,,,,,,
Soulja Boy,Crank That (Soulja Boy),"hip hop, pop",2007,0.736,0.74,221933,FALSE,,,,,,,,,
Fat Joe,Make It Rain,"hip hop, pop",2006,0.744,0.697,247413,TRUE,,,,,,,,,
P!nk,U + Ur Hand,pop,2006,0.709,0.891,214386,TRUE,,,,,,,,,
Rihanna,Shut Up And Drive,"hip hop, pop, R&B",2008,0.735,0.826,212280,FALSE,,,,,,,,,
Lloyd,Get It Shawty,"hip hop, pop, R&B",2007,0.822,0.905,209533,FALSE,,,,,,,,,
Kanye West,Can't Tell Me Nothing,hip hop,2007,0.596,0.62,271600,TRUE,,,,,,,,,
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,set(),2006,0.847,0.861,152333,FALSE,,,,,,,,,
Linkin Park,What I've Done,"rock, metal",2007,0.623,0.93,205613,FALSE,,,,,,,,,
Keyshia Cole,Last Night,"hip hop, pop, R&B",2007,0.918,0.857,255706,FALSE,,,,,,,,,
Chris Brown,Kiss Kiss (feat. T-Pain),"hip hop, pop, R&B",2007,0.729,0.658,250666,FALSE,,,,,,,,,
Shop Boyz,Party Like A Rock Star,"hip hop, pop",2007,0.619,0.709,253400,TRUE,,,,,,,,,
Finger Eleven,Paralyzer,"rock, metal",2007,0.644,0.939,208106,FALSE,,,,,,,,,
Justin Timberlake,Summer Love,pop,2006,0.606,0.591,252973,FALSE,,,,,,,,,
MiMS,This Is Why I'm Hot,"hip hop, pop",2007,0.621,0.6,253706,TRUE,,,,,,,,,
Fabolous,Make Me Better,"hip hop, pop, R&B",2007,0.607,0.599,253573,TRUE,,,,,,,,,
Seether,Fake It,"rock, metal",2007,0.611,0.95,193893,TRUE,,,,,,,,,
Take That,Patience,pop,2006,0.309,0.783,202066,FALSE,,,,,,,,,
Arctic Monkeys,Brianstorm,rock,2007,0.42,0.974,172866,FALSE,,,,,,,,,
Justin Timberlake,My Love (feat. T.I.),pop,2006,0.771,0.68,276160,FALSE,,,,,,,,,
Fergie,Glamorous,"pop, R&B",2006,0.811,0.757,246600,TRUE,,,,,,,,,
Linkin Park,Bleed It Out,"rock, metal",2007,0.529,0.967,166373,TRUE,,,,,,,,,
My Chemical Romance,Teenagers,rock,2006,0.463,0.857,161920,FALSE,,,,,,,,,
Calvin Harris,Acceptable in the 80's,"hip hop, pop, Dance/Electronic",2007,0.787,0.808,333680,FALSE,,,,,,,,,
Sugababes,About You Now,"pop, R&B",2007,0.584,0.699,212400,FALSE,,,,,,,,,
Avril Lavigne,Girlfriend,pop,2007,0.56,0.959,216600,TRUE,,,,,,,,,
Ne-Yo,Because Of You,"pop, R&B",2007,0.81,0.538,266840,FALSE,,,,,,,,,
Daughtry,It's Not Over,"pop, rock, metal",2016,0.45,0.921,215173,FALSE,,,,,,,,,
Unk,Walk It Out,"hip hop, pop",2013,0.794,0.777,173040,TRUE,,,,,,,,,
Lloyd,You,"hip hop, pop, R&B",2007,0.412,0.876,273133,FALSE,,,,,,,,,
Klaxons,Golden Skans,rock,2007,0.463,0.836,165120,FALSE,,,,,,,,,
T-Pain,Bartender (feat. Akon),"hip hop, pop, R&B",2007,0.675,0.394,238800,TRUE,,,,,,,,,
Baby Boy Da Prince,The Way I Live - Main Explicit,"hip hop, pop",2006,0.88,0.438,324906,TRUE,,,,,,,,,
Fergie,Fergalicious,"pop, R&B",2006,0.906,0.584,292373,TRUE,,,,,,,,,
Omarion,Ice Box,"hip hop, pop, R&B",2006,0.775,0.731,256426,FALSE,,,,,,,,,
Pretty Ricky,On the Hotline - Amended Version,"hip hop, pop, R&B",2007,0.704,0.854,242586,FALSE,,,,,,,,,
Nickelback,Rockstar,"rock, metal",2005,0.616,0.91,252040,FALSE,,,,,,,,,
Fall Out Boy,Thnks fr th Mmrs,rock,2007,0.459,0.891,203506,FALSE,,,,,,,,,
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),pop,2006,0.859,0.681,444333,TRUE,,,,,,,,,
All Time Low,"Dear Maria, Count Me In",rock,2007,0.459,0.895,182826,FALSE,,,,,,,,,
Amy Winehouse,Back To Black,R&B,2006,0.403,0.422,241293,TRUE,,,,,,,,,
Keyshia Cole,Let It Go,"hip hop, pop, R&B",2007,0.808,0.721,238360,FALSE,,,,,,,,,
Ciara,Promise,"pop, R&B",2006,0.697,0.629,267413,FALSE,,,,,,,,,
Enrique Iglesias,Do You Know? (The Ping Pong Song),"pop, latin",2007,0.753,0.759,219533,FALSE,,,,,,,,,
T2,Heartbroken - Edit,Dance/Electronic,2017,0.716,0.757,178613,FALSE,,,,,,,,,
Robyn,With Every Heartbeat,"pop, Dance/Electronic",2005,0.477,0.865,254920,FALSE,,,,,,,,,
Maroon 5,Makes Me Wonder,pop,2007,0.803,0.851,211080,TRUE,,,,,,,,,
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",rock,2007,0.435,0.887,212040,FALSE,,,,,,,,,
Paramore,Misery Business,"pop, rock",2007,0.517,0.906,211520,FALSE,,,,,,,,,
Hinder,Better Than Me,"pop, rock, metal",2019,0.451,0.682,223533,FALSE,,,,,,,,,
Huey,"Pop, Lock & Drop It - Video Edit","hip hop, pop",2006,0.723,0.644,261026,FALSE,,,,,,,,,
Foo Fighters,The Pretender,"rock, metal",2007,0.433,0.959,269373,FALSE,,,,,,,,,
Plies,Shawty (feat. T Pain),"hip hop, pop, R&B",2007,0.444,0.708,255413,TRUE,,,,,,,,,
Kaiser Chiefs,Ruby,rock,2007,0.451,0.939,204200,FALSE,,,,,,,,,
Mark Ronson,Stop Me (feat. Daniel Merriweather),pop,2007,0.626,0.906,232946,FALSE,,,,,,,,,
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),"hip hop, pop, R&B",2006,0.772,0.59,238266,FALSE,,,,,,,,,
Jim Jones,We Fly High,"hip hop, pop",2006,0.685,0.8,236080,TRUE,,,,,,,,,
The Red Jumpsuit Apparatus,Face Down,pop,2006,0.545,0.932,192000,FALSE,,,,,,,,,
MIKA,Grace Kelly,pop,2006,0.675,0.828,187733,FALSE,,,,,,,,,
Christina Aguilera,Candyman,pop,2006,0.686,0.789,194213,FALSE,,,,,,,,,
Sean Kingston,Beautiful Girls,"hip hop, pop, R&B",2007,0.762,0.661,225373,FALSE,,,,,,,,,
Akon,Don't Matter,pop,2006,0.801,0.454,293066,TRUE,,,,,,,,,
James Blunt,1973,pop,2007,0.72,0.668,280026,FALSE,,,,,,,,,
Carrie Underwood,Before He Cheats,"pop, country",2005,0.519,0.749,199946,FALSE,,,,,,,,,
Just Jack,Starz In Their Eyes,Dance/Electronic,2006,0.67,0.8,295933,FALSE,,,,,,,,,
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"hip hop, pop, R&B",2007,0.451,0.55,227960,FALSE,,,,,,,,,
Bone Thugs-N-Harmony,I Tried,"hip hop, pop",2007,0.727,0.71,287480,TRUE,,,,,,,,,
Avril Lavigne,When You're Gone,pop,2007,0.457,0.719,240493,FALSE,,,,,,,,,
Rich Boy,Throw Some D's,"hip hop, pop",2007,0.697,0.86,263920,TRUE,,,,,,,,,
MIKA,Love Today,pop,2006,0.673,0.913,235173,FALSE,,,,,,,,,
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),"rock, pop",2007,0.344,0.921,235693,FALSE,,,,,,,,,
Elliott Yamin,Wait for You,set(),2007,0.764,0.487,261320,FALSE,,,,,,,,,
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",set(),2007,0.733,0.744,241133,FALSE,,,,,,,,,
Boys Like Girls,The Great Escape,pop,2007,0.423,0.94,206520,FALSE,,,,,,,,,
Take That,Rule The World - Radio Edit,pop,2007,0.357,0.774,237760,FALSE,,,,,,,,,
J. Holiday,Bed,"hip hop, pop, R&B, Dance/Electronic",2007,0.684,0.606,275106,FALSE,,,,,,,,,
Red Hot Chili Peppers,Snow (Hey Oh),rock,2006,0.427,0.9,334666,FALSE,,,,,,,,,
Ludacris,Runaway Love,"hip hop, pop",2006,0.405,0.721,280680,TRUE,,,,,,,,,
Flo Rida,Low (feat. T-Pain),"hip hop, pop",2008,0.918,0.609,231400,FALSE,,,,,,,,,
Katy Perry,I Kissed A Girl,pop,2008,0.699,0.76,179640,FALSE,,,,,,,,,
Rihanna,Take A Bow,"hip hop, pop, R&B",2008,0.697,0.467,229413,FALSE,,,,,,,,,
Alicia Keys,No One,"pop, R&B",2007,0.644,0.549,253813,FALSE,,,,,,,,,
Timbaland,Apologize,"hip hop, pop, R&B",2007,0.653,0.604,184400,FALSE,,,,,,,,,
Ne-Yo,Miss Independent,"pop, R&B",2008,0.668,0.673,232000,FALSE,,,,,,,,,
Chris Brown,With You,"hip hop, pop, R&B",2007,0.662,0.693,252120,FALSE,,,,,,,,,
Beyoncé,If I Were a Boy,"pop, R&B",2008,0.632,0.518,249146,FALSE,,,,,,,,,
Kardinal Offishall,Dangerous,"hip hop, pop, R&B",2008,0.949,0.79,246053,TRUE,,,,,,,,,
Madcon,Beggin (original version),"hip hop, pop",2007,0.715,0.8,216146,FALSE,,,,,,,,,
September,Cry for You,"pop, Dance/Electronic",2007,0.767,0.881,209800,FALSE,,,,,,,,,
Rihanna,Disturbia,"hip hop, pop, R&B",2008,0.707,0.813,238626,FALSE,,,,,,,,,
Guru Josh Project,Infinity 2008,hip hop,2011,0.493,0.849,190013,FALSE,,,,,,,,,
Britney Spears,Break the Ice,pop,2007,0.712,0.911,196053,FALSE,,,,,,,,,
Lil Wayne,Lollipop,"hip hop, pop",2008,0.829,0.428,299333,TRUE,,,,,,,,,
Basshunter,Now You're Gone - Video Edit,pop,2008,0.639,0.976,148186,FALSE,,,,,,,,,
Kanye West,Flashing Lights,hip hop,2007,0.639,0.628,237506,TRUE,,,,,,,,,
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),pop,2009,0.753,0.931,189693,FALSE,,,,,,,,,
Katy Perry,Hot N Cold,pop,2008,0.706,0.841,220226,FALSE,,,,,,,,,
Rihanna,Don't Stop The Music,"hip hop, pop, R&B",2008,0.835,0.669,267080,FALSE,,,,,,,,,
Snoop Dogg,Sensual Seduction,"hip hop, pop",2007,0.756,0.829,245520,FALSE,,,,,,,,,
Akon,Right Now (Na Na Na),pop,2008,0.83,0.857,240746,FALSE,,,,,,,,,
Britney Spears,Womanizer,pop,2008,0.724,0.695,224400,FALSE,,,,,,,,,
Eric Prydz,Pjanoo - Radio Edit,"pop, Dance/Electronic",2008,0.605,0.874,157432,FALSE,,,,,,,,,
Kelly Rowland,Work,"hip hop, pop, R&B",2010,0.888,0.823,207920,FALSE,,,,,,,,,
Jeezy,Put On,"hip hop, pop",2008,0.654,0.77,321293,TRUE,,,,,,,,,
Madonna,Give It 2 Me,pop,2008,0.837,0.954,287906,FALSE,,,,,,,,,
The Pussycat Dolls,When I Grow Up,"pop, R&B",2008,0.671,0.685,245680,FALSE,,,,,,,,,
will.i.am,Heartbreaker,"hip hop, pop",2007,0.788,0.549,327880,TRUE,,,,,,,,,
Soulja Boy,Crank That (Soulja Boy),"hip hop, pop",2007,0.736,0.74,221933,FALSE,,,,,,,,,
Britney Spears,Piece of Me,pop,2007,0.769,0.638,212106,FALSE,,,,,,,,,
T.I.,Live Your Life,"hip hop, pop",2008,0.375,0.862,338853,TRUE,,,,,,,,,
Ne-Yo,Closer,"pop, R&B",2008,0.709,0.745,234360,FALSE,,,,,,,,,
Lil Wayne,A Milli,"hip hop, pop",2008,0.674,0.695,221840,TRUE,,,,,,,,,
Colby O'Donis,What You Got,"hip hop, pop, R&B",2008,0.775,0.641,243013,FALSE,,,,,,,,,
Miley Cyrus,See You Again,pop,2007,0.692,0.911,190453,FALSE,,,,,,,,,
Basshunter,All I Ever Wanted - Radio Edit,pop,2008,0.645,0.984,176453,FALSE,,,,,,,,,
Chris Brown,Kiss Kiss (feat. T-Pain),"hip hop, pop, R&B",2007,0.729,0.658,250666,FALSE,,,,,,,,,
Finger Eleven,Paralyzer,"rock, metal",2007,0.644,0.939,208106,FALSE,,,,,,,,,
Alesha Dixon,The Boy Does Nothing,pop,2008,0.632,0.972,210680,FALSE,,,,,,,,,
Dizzee Rascal,Dance Wiv Me - Radio Edit,"hip hop, pop, Dance/Electronic",2011,0.878,0.746,204093,FALSE,,,,,,,,,
Gabriella Cilmi,Sweet About Me,R&B,2008,0.671,0.701,202133,FALSE,,,,,,,,,
Jack White,Another Way to Die,"rock, blues",2007,0.486,0.765,262240,FALSE,,,,,,,,,
Plies,Hypnotized (feat. Akon),"hip hop, pop, R&B",2007,0.84,0.571,188493,TRUE,,,,,,,,,
The Pussycat Dolls,I Hate This Part,"pop, R&B",2008,0.756,0.612,218400,FALSE,,,,,,,,,
Sean Kingston,Take You There,"hip hop, pop, R&B",2008,0.752,0.921,236693,FALSE,,,,,,,,,
Natasha Bedingfield,Pocketful of Sunshine,pop,2008,0.726,0.881,203440,FALSE,,,,,,,,,
The Offspring,"You're Gonna Go Far, Kid","rock, pop, metal",2008,0.55,0.917,177826,TRUE,,,,,,,,,
Kanye West,Homecoming,hip hop,2007,0.667,0.747,203493,TRUE,,,,,,,,,
Estelle,American Boy,R&B,2008,0.727,0.729,284733,TRUE,,,,,,,,,
Saving Abel,Addicted,"rock, metal",2008,0.512,0.864,222826,TRUE,,,,,,,,,
Pendulum,Propane Nightmares,Dance/Electronic,2008,0.356,0.966,313346,FALSE,,,,,,,,,
The Game,My Life,"hip hop, pop",2008,0.673,0.766,320893,TRUE,,,,,,,,,
Danity Kane,Damaged,"pop, R&B",2008,0.774,0.653,244266,FALSE,,,,,,,,,
P!nk,So What,pop,2008,0.534,0.87,215160,TRUE,,,,,,,,,
Kanye West,Love Lockdown,hip hop,2008,0.76,0.524,270306,FALSE,,,,,,,,,
Gym Class Heroes,Cookie Jar (feat. The-Dream),"hip hop, pop",2008,0.687,0.668,216317,TRUE,,,,,,,,,
M.I.A.,Paper Planes,"pop, rock",2007,0.447,0.848,205200,FALSE,,,,,,,,,
3 Doors Down,It's Not My Time,"pop, rock, metal",2008,0.529,0.934,241960,FALSE,,,,,,,,,
Kylie Minogue,Wow,"pop, Dance/Electronic",2007,0.654,0.884,190973,FALSE,,,,,,,,,
Mariah Carey,Touch My Body,"pop, R&B",2008,0.715,0.665,204733,FALSE,,,,,,,,,
MGMT,Kids,rock,2007,0.451,0.931,302840,FALSE,,,,,,,,,
The Ting Tings,Shut Up and Let Me Go,"pop, rock, Dance/Electronic",2007,0.852,0.927,171226,FALSE,,,,,,,,,
Lil Wayne,Got Money,"hip hop, pop",2008,0.694,0.661,244626,TRUE,,,,,,,,,
Santana,Into the Night (feat. Chad Kroeger),"rock, blues, latin",2007,0.595,0.844,222440,FALSE,,,,,,,,,
The-Dream,I Luv Your Girl,"hip hop, pop, R&B",2007,0.723,0.322,267866,TRUE,,,,,,,,,
Wiley,Wearing My Rolex - Radio Edit,"hip hop, Dance/Electronic",2008,0.876,0.716,170480,FALSE,,,,,,,,,
Usher,Love in This Club (feat. Young Jeezy),"hip hop, pop, R&B",2008,0.573,0.712,259720,FALSE,,,,,,,,,
Sam Sparro,Black & Gold - Radio Edit,"pop, Dance/Electronic",2008,0.383,0.703,212360,FALSE,,,,,,,,,
"H ""two"" O",What's It Gonna Be (feat. Platnum),Dance/Electronic,2008,0.733,0.9,207476,FALSE,,,,,,,,,
The Ting Tings,That's Not My Name,"pop, rock, Dance/Electronic",2008,0.755,0.901,310573,FALSE,,,,,,,,,
Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)","hip hop, pop, R&B",2008,0.648,0.801,240760,TRUE,,,,,,,,,
James Morrison,Broken Strings,"pop, R&B",2008,0.57,0.717,250453,FALSE,,,,,,,,,
Leona Lewis,Run,"pop, R&B",2007,0.285,0.462,314720,FALSE,,,,,,,,,
Metro Station,Shake It,"pop, rock",2007,0.618,0.955,179946,FALSE,,,,,,,,,
T.I.,Whatever You Like,"hip hop, pop",2008,0.68,0.687,249533,TRUE,,,,,,,,,
Trey Songz,Can't Help but Wait,"hip hop, pop, R&B",2007,0.699,0.699,206413,FALSE,,,,,,,,,
OneRepublic,Stop And Stare,pop,2007,0.492,0.859,223853,FALSE,,,,,,,,,
Alexandra Burke,Hallelujah,pop,2009,0.177,0.425,217826,FALSE,,,,,,,,,
Mary J. Blige,Just Fine,"pop, R&B",2007,0.923,0.795,242133,FALSE,,,,,,,,,
Jordin Sparks,One Step At a Time,"pop, R&B",2007,0.766,0.692,205160,FALSE,,,,,,,,,
Coldplay,Viva La Vida,"rock, pop",2008,0.486,0.617,242373,FALSE,,,,,,,,,
Kings of Leon,Sex on Fire,rock,2008,0.542,0.905,203346,FALSE,,,,,,,,,
Kanye West,Good Life,hip hop,2007,0.439,0.808,207000,TRUE,,,,,,,,,
Duffy,Mercy,"pop, R&B",2008,0.793,0.859,219920,FALSE,,,,,,,,,
David Archuleta,Crush,pop,2008,0.57,0.664,213520,FALSE,,,,,,,,,
J. Holiday,Suffocate - Superclean,"hip hop, pop, R&B, Dance/Electronic",2007,0.458,0.445,220053,FALSE,,,,,,,,,
Gavin DeGraw,In Love With a Girl,"pop, Folk/Acoustic",2008,0.438,0.906,206000,FALSE,,,,,,,,,
Jordin Sparks,Tattoo,"pop, R&B",2007,0.566,0.766,233466,FALSE,,,,,,,,,
Coldplay,Violet Hill,"rock, pop",2008,0.33,0.58,222653,FALSE,,,,,,,,,
Ray J,Sexy Can I feat. Yung Berg,"hip hop, pop, R&B",2008,0.575,0.684,204040,TRUE,,,,,,,,,
Jennifer Hudson,Spotlight,"pop, R&B, easy listening",2008,0.707,0.724,250106,FALSE,,,,,,,,,
John Legend,Green Light (feat. André 3000),"pop, R&B",2008,0.622,0.882,284186,FALSE,,,,,,,,,
Jonas Brothers,Burnin' Up,pop,2008,0.667,0.954,175093,FALSE,,,,,,,,,
Lupe Fiasco,Superstar (feat. Matthew Santos),"hip hop, pop",2007,0.572,0.822,289000,FALSE,,,,,,,,,
Chris Brown,Forever,"hip hop, pop, R&B",2008,0.672,0.82,278573,FALSE,,,,,,,,,
Adele,Chasing Pavements,"pop, R&B",2008,0.614,0.47,210506,FALSE,,,,,,,,,
Leona Lewis,Better in Time,"pop, R&B",2007,0.584,0.7,234173,FALSE,,,,,,,,,
Fergie,Clumsy,"pop, R&B",2006,0.731,0.563,240426,FALSE,,,,,,,,,
T-Pain,Can't Believe It (feat. Lil' Wayne),"hip hop, pop, R&B",2008,0.648,0.516,273826,FALSE,,,,,,,,,
Black Eyed Peas,I Gotta Feeling,"hip hop, pop",2009,0.743,0.766,289133,FALSE,,,,,,,,,
Lady Gaga,Poker Face,pop,2008,0.851,0.806,237200,FALSE,,,,,,,,,
Beyoncé,Halo,"pop, R&B",2008,0.508,0.72,261640,FALSE,,,,,,,,,
David Guetta,Sexy Bitch (feat. Akon),"hip hop, pop, Dance/Electronic",2010,0.813,0.627,195853,TRUE,,,,,,,,,
Flo Rida,Right Round,"hip hop, pop",2009,0.72,0.672,204640,FALSE,,,,,,,,,
Taylor Swift,Love Story,pop,2008,0.617,0.741,236266,FALSE,,,,,,,,,
Pitbull,Hotel Room Service,"hip hop, pop, latin",2009,0.849,0.599,238506,FALSE,,,,,,,,,
Britney Spears,Circus,pop,2008,0.791,0.733,192360,FALSE,,,,,,,,,
Lady Gaga,LoveGame,pop,2008,0.894,0.678,216333,FALSE,,,,,,,,,
Skillet,Monster,"rock, pop, metal",2009,0.64,0.957,178013,FALSE,,,,,,,,,
The Prodigy,Omen,"rock, pop, Dance/Electronic",2009,0.545,0.953,216026,FALSE,,,,,,,,,
Black Eyed Peas,Meet Me Halfway,"hip hop, pop",2009,0.798,0.629,284373,FALSE,,,,,,,,,
Kanye West,Heartless,hip hop,2008,0.79,0.647,211000,FALSE,,,,,,,,,
Kid Cudi,Day 'N' Nite (Nightmare),hip hop,2009,0.88,0.443,221240,FALSE,,,,,,,,,
Lady Gaga,Just Dance,pop,2008,0.822,0.739,241933,FALSE,,,,,,,,,
Britney Spears,If U Seek Amy,pop,2008,0.717,0.587,216520,FALSE,,,,,,,,,
Pitbull,I Know You Want Me (Calle Ocho),"hip hop, pop, latin",2009,0.825,0.743,237120,FALSE,,,,,,,,,
Mariah Carey,Obsessed,"pop, R&B",2009,0.742,0.468,242200,FALSE,,,,,,,,,
Beyoncé,Sweet Dreams,"pop, R&B",2008,0.694,0.825,208066,FALSE,,,,,,,,,
Agnes,Release Me,"pop, Dance/Electronic",2009,0.621,0.923,256213,FALSE,,,,,,,,,
Black Eyed Peas,Boom Boom Pow,"hip hop, pop",2009,0.867,0.857,251440,TRUE,,,,,,,,,
Shakira,She Wolf,"pop, latin",2009,0.865,0.69,188866,FALSE,,,,,,,,,
Lady Gaga,Paparazzi,pop,2008,0.762,0.692,208306,FALSE,,,,,,,,,
JAY-Z,Empire State Of Mind,hip hop,2009,0.491,0.956,276920,TRUE,,,,,,,,,
OneRepublic,All The Right Moves,pop,2009,0.529,0.948,238000,FALSE,,,,,,,,,
Jeremih,Birthday Sex,"hip hop, pop, R&B",2009,0.677,0.523,226506,FALSE,,,,,,,,,
Cascada,Evacuate The Dancefloor,"hip hop, pop, Dance/Electronic",2009,0.762,0.702,207200,FALSE,,,,,,,,,
Linkin Park,New Divide,"rock, metal",2009,0.493,0.808,268613,FALSE,,,,,,,,,
Kevin Rudolf,Let It Rock,"hip hop, pop",2008,0.607,0.783,231173,TRUE,,,,,,,,,
JAY-Z,Run This Town,hip hop,2009,0.632,0.924,267520,TRUE,,,,,,,,,
Lady Gaga,Bad Romance,pop,2009,0.696,0.921,294573,TRUE,,,,,,,,,
T.I.,Live Your Life,"hip hop, pop",2008,0.375,0.862,338853,TRUE,,,,,,,,,
Eminem,We Made You,hip hop,2009,0.924,0.853,269613,FALSE,,,,,,,,,
Dizzee Rascal,Bonkers,"hip hop, pop, Dance/Electronic",2011,0.624,0.977,177573,FALSE,,,,,,,,,
Ciara,Love Sex Magic (feat. Justin Timberlake),"pop, R&B",2009,0.893,0.666,220426,FALSE,,,,,,,,,
Rihanna,Russian Roulette,"hip hop, pop, R&B",2009,0.48,0.486,227533,TRUE,,,,,,,,,
Soulja Boy,Turn My Swag On,"hip hop, pop",2008,0.546,0.712,206333,FALSE,,,,,,,,,
The xx,Intro,rock,2009,0.617,0.778,127920,FALSE,,,,,,,,,
Jay Sean,Down,"hip hop, pop, R&B",2009,0.657,0.695,212106,FALSE,,,,,,,,,
Keri Hilson,Turnin Me On - Original Dirty,"pop, R&B",2008,0.661,0.584,248066,TRUE,,,,,,,,,
David Guetta,When Love Takes Over (feat. Kelly Rowland),"hip hop, pop, Dance/Electronic",2010,0.675,0.862,191000,FALSE,,,,,,,,,
Cheryl,Fight For This Love,"pop, Dance/Electronic",2009,0.739,0.741,223253,FALSE,,,,,,,,,
Soulja Boy,Kiss Me Thru The Phone,"hip hop, pop",2008,0.758,0.712,193386,TRUE,,,,,,,,,
Eminem,Crack A Bottle,hip hop,2009,0.516,0.874,297520,TRUE,,,,,,,,,
P!nk,Sober,pop,2010,0.614,0.792,251440,FALSE,,,,,,,,,
Tinchy Stryder,Number 1,"pop, Dance/Electronic",2009,0.581,0.824,212773,FALSE,,,,,,,,,
Pixie Lott,"Mama Do (Uh Oh, Uh Oh)","pop, Dance/Electronic",2009,0.451,0.873,196520,FALSE,,,,,,,,,
JLS,Beat Again - Radio Edit,pop,2009,0.894,0.93,196640,FALSE,,,,,,,,,
3OH!3,DONTTRUSTME,"hip hop, pop, rock",2008,0.791,0.713,192573,TRUE,,,,,,,,,
A.R. Rahman,Jai Ho! (You Are My Destiny),set(),2009,0.657,0.941,222400,FALSE,,,,,,,,,
The Pussycat Dolls,I Hate This Part,"pop, R&B",2008,0.756,0.612,218400,FALSE,,,,,,,,,
Akon,Beautiful,pop,2008,0.74,0.945,312986,FALSE,,,,,,,,,
Alexandra Burke,Bad Boys (feat. Flo Rida),pop,2009,0.67,0.866,206480,FALSE,,,,,,,,,
Mario,Break Up,"pop, R&B",2009,0.44,0.517,249026,TRUE,,,,,,,,,
Drake,Forever,"hip hop, pop, R&B",2009,0.457,0.906,357706,TRUE,,,,,,,,,
Selena Gomez & The Scene,Naturally,"pop, Dance/Electronic",2009,0.605,0.902,202586,FALSE,,,,,,,,,
Kanye West,Love Lockdown,hip hop,2008,0.76,0.524,270306,FALSE,,,,,,,,,
The Veronicas,Untouched,"pop, Dance/Electronic",2005,0.557,0.783,255360,FALSE,,,,,,,,,
Fabolous,Throw It In The Bag,"hip hop, pop, R&B",2009,0.789,0.55,231573,TRUE,,,,,,,,,
Jason Derulo,Whatcha Say,"hip hop, pop",2010,0.615,0.711,221253,FALSE,,,,,,,,,
Lily Allen,Not Fair,pop,2009,0.719,0.861,201213,TRUE,,,,,,,,,
T.I.,Dead And Gone,"hip hop, pop",2008,0.713,0.746,299746,TRUE,,,,,,,,,
Sean Kingston,Fire Burning,"hip hop, pop, R&B",2009,0.839,0.804,239986,FALSE,,,,,,,,,
Empire of the Sun,Walking On A Dream,"rock, pop, Dance/Electronic",2008,0.871,0.701,198440,FALSE,,,,,,,,,
